date,fa,video,climber_id,route_id
27/11/2024,1,NA,cl00029,ro00074
23/9/2022,1,NA,cl00029,ro00060
,0,NA,cl00016,ro00140
,0,NA,cl00057,ro00140
28/6/2021,1,NA,cl00054,ro00140
,0,NA,cl00096,ro00140
12/8/2022,1,NA,cl00017,ro00117
18/5/2023,1,NA,cl00069,ro00129
,0,NA,cl00105,ro00132
9/11/2019,1,NA,cl00104,ro00132
21/10/2010,1,NA,cl00043,ro00084
,0,NA,cl00016,ro00084
,0,NA,cl00052,ro00084
,0,NA,cl00051,ro00084
1/12/2018,1,NA,cl00047,ro00105
,0,NA,cl00075,ro00100
,0,NA,cl00088,ro00100
,0,NA,cl00043,ro00100
9/7/2021,1,NA,cl00069,ro00100
,0,NA,cl00053,ro00100
,0,NA,cl00089,ro00100
,0,NA,cl00044,ro00100
,0,NA,cl00045,ro00100
3/8/2013,1,NA,cl00001,ro00041
28/7/2022,1,NA,cl00046,ro00116
,0,NA,cl00098,ro00116
,0,NA,cl00017,ro00116
11/9/2008,1,NA,cl00004,ro00047
,0,NA,cl00031,ro00047
,0,NA,cl00018,ro00047
,0,NA,cl00002,ro00047
,0,NA,cl00006,ro00023
,0,NA,cl00003,ro00023
9/3/2021,1,NA,cl00017,ro00023
8/2/2022,1,NA,cl00005,ro00055
18/10/2023,1,NA,cl00047,ro00079
26/8/2018,1,NA,cl00034,ro00052
7/2/2013,1,NA,cl00001,ro00004
,0,NA,cl00004,ro00004
7/4/2011,1,NA,cl00001,ro00028
,0,NA,cl00021,ro00028
,0,NA,cl00019,ro00028
,0,NA,cl00003,ro00028
,0,NA,cl00020,ro00028
,0,NA,cl00018,ro00028
,0,NA,cl00007,ro00028
4/9/2019,1,NA,cl00002,ro00015
1/11/2017,1,NA,cl00047,ro00097
,0,NA,cl00087,ro00097
,0,NA,cl00086,ro00097
,0,NA,cl00058,ro00097
,0,NA,cl00062,ro00097
,0,NA,cl00041,ro00097
,0,NA,cl00085,ro00097
24/8/2022,1,NA,cl00020,ro00059
17/6/2020,1,NA,cl00001,ro00103
25/4/2024,1,NA,cl00002,ro00071
11/5/2018,1,NA,cl00002,ro00033
,0,NA,cl00053,ro00113
5/8/2009,1,NA,cl00040,ro00113
,0,NA,cl00061,ro00113
,0,NA,cl00045,ro00113
16/12/2020,1,NA,cl00019,ro00029
2/2/2017,1,NA,cl00001,ro00032
,0,NA,cl00002,ro00032
13/2/2023,1,NA,cl00069,ro00124
1/4/2022,1,NA,cl00045,ro00078
7/2/2023,1,NA,cl00007,ro00012
,0,NA,cl00052,ro00101
10/3/2021,1,NA,cl00090,ro00101
17/4/2023,1,NA,cl00029,ro00064
20/8/2013,1,NA,cl00001,ro00017
,0,NA,cl00006,ro00017
,0,NA,cl00007,ro00017
,0,NA,cl00002,ro00017
10/7/2017,1,NA,cl00001,ro00035
,0,NA,cl00002,ro00035
,0,NA,cl00005,ro00035
,0,NA,cl00007,ro00138
4/1/2024,1,NA,cl00107,ro00138
4/4/2017,1,NA,cl00093,ro00119
,0,NA,cl00063,ro00119
,0,NA,cl00001,ro00026
18/12/2009,1,NA,cl00004,ro00026
,0,NA,cl00003,ro00026
,0,NA,cl00091,ro00102
24/10/2021,1,NA,cl00061,ro00102
1/12/2024,1,NA,cl00066,ro00146
25/7/2022,1,NA,cl00002,ro00014
7/10/2019,1,NA,cl00029,ro00042
,0,NA,cl00043,ro00085
,0,NA,cl00057,ro00085
,0,NA,cl00059,ro00085
,0,NA,cl00054,ro00085
,0,NA,cl00053,ro00085
,0,NA,cl00060,ro00085
,0,NA,cl00058,ro00085
,0,NA,cl00055,ro00085
27/11/2018,1,NA,cl00045,ro00085
,0,NA,cl00041,ro00085
,0,NA,cl00056,ro00085
13/11/2017,1,NA,cl00001,ro00024
,0,NA,cl00005,ro00024
9/5/2018,1,NA,cl00006,ro00007
,0,NA,cl00003,ro00007
,0,NA,cl00005,ro00007
1/10/2013,1,NA,cl00032,ro00048
,0,NA,cl00018,ro00048
12/2/2019,1,NA,cl00054,ro00098
,0,NA,cl00053,ro00098
18/10/2023,1,NA,cl00029,ro00067
18/4/2017,1,NA,cl00001,ro00036
,0,NA,cl00005,ro00036
,0,NA,cl00059,ro00134
22/2/2019,1,NA,cl00054,ro00134
,0,NA,cl00106,ro00134
,0,NA,cl00096,ro00134
,0,NA,cl00023,ro00030
,0,NA,cl00024,ro00030
4/6/2017,1,NA,cl00022,ro00030
31/7/2022,1,NA,cl00006,ro00058
1/2/2024,1,NA,cl00076,ro00137
27/6/2024,0,NA,cl00059,ro00123
31/1/2023,1,NA,cl00056,ro00123
30/3/2021,1,NA,cl00043,ro00076
1/1/2025,0,NA,cl00044,ro00076
21/2/2024,0,NA,cl00017,ro00076
5/10/2016,1,NA,cl00001,ro00037
,1,NA,cl00008,ro00143
3/9/2017,1,NA,cl00001,ro00001
,0,NA,cl00006,ro00013
30/3/2023,1,NA,cl00004,ro00013
,0,NA,cl00007,ro00013
1/12/2024,0,NA,cl00077,ro00090
2/1/2024,0,NA,cl00075,ro00090
21/1/2019,0,NA,cl00043,ro00090
26/1/2020,0,NA,cl00069,ro00090
26/1/2020,0,NA,cl00072,ro00090
15/12/2018,1,NA,cl00053,ro00090
1/11/2023,0,NA,cl00074,ro00090
3/2/2021,0,NA,cl00052,ro00090
2/2/2019,0,NA,cl00040,ro00090
