"climb_name","type","country","crag","lat","long","grade","climb_id"
"L'Arenauta","sport","Italy","Grotta dell'Arenauta","41.220813","13.4852204","9b","e6a5a15e9f96ed8c779e46999a9c131c"
"Bomba","sport","Italy","Arco","45.92543","10.87774","9b","7cb9ac611af378fcb82a2634e4cbc3ef"
"Event Horizon","sport","USA","5g Wall","36.1716","115.1391","9b","25af02593d73de42b22f710694232da8"
"Ratstaman Vibrations","sport","France","Céüse","44.49797","5.9486","9b","b114ed40d26f21be8e35f08958e572a5"
"La Vie","sport","Spain","Rodellar","42.28398","-0.08135","9b","ef9b7b9f2b4b1a7a09b0fc35646254ff"
"Harlem","sport","France","Orgon","43.78006","5.03944","9b","71984255263645b0a8b2d60e5cc3f7a4"
"The Full Journey","sport","Spain","Margalef","41.2756","0.76803","9b","9b0312305619af841ef679fe78ab9814"
"Brooklyn","sport","France","Orgon","43.78006","5.03944","9b","b16c7d7910d1a881f226aa366f82d05e"
"Ariégeois Cœur Loyal (ACL)","sport","France","Pic Saint-Loup","43.779","3.80544","9b","582daad3ababc340913aeac27bcfee27"
"Mossoul","sport","France","Orgon","43.78006","5.03944","9b/+","041b46d8b84aa8910d781dc8bfe5f17f"
"Fantasia","sport","France","Vercors","46.214336","2.385136","9b","0689bd3d96a4e48a80c8c30530af1821"
"B je to","sport","Croatia","Vranjača","44.23362","15.781411","9b","fcd45326c6705c34aa5cb9ef384fa28e"
"Quartiers Nord","sport","France","Orgon","43.78006","5.03944","9b","bdbff608f7f493fbebbf238bd55bf7ef"
"The Flame","sport","Austria","Zillertal","","","9b","7e2d8b5d4eff779c8e3776f947c783cc"
"E.L.L.I.E","sport","Spain","Cataluna","","","9b","d8b3a6830108038707378fcecec7735a"
"Hannigraal","sport","France","Grenoble","","","9b","57533c40b8ca3d6877dfb10c52bdaeea"
"Les Rois du Lithium","sport","France","Pic Saint-Loup","","","9b","4f7a6eed0eeec4afe4a19dbd4137881c"
"Anemology","sport","USA","Utah Hills","","","9b","d3b8f705a23b5932beb39361c26929fd"
"Wolf Kingdom","sport","France","Pic Saint-Loup","","","9b+","b1ab67bba909a7ae7745251fa0c0c86d"
"Harder Better Faster Stronger","sport","France","Orgon","43.78006","5.03944","9b","bc76d97160888d1aafe5347bf00bdfcf"
"Burden of Dreams","boulder","Finland","Lappnor","60.423895","26.135606","9A","b10d4fc3ba1332de5bf77dca47bc87f5"
"Return of the Sleepwalker","boulder","USA","Red Rock","36.03712","-115.46810","9A","dcac89dc49024076b1b07cf9d1c65189"
"Alphane","boulder","Switzerland","Chironico","46.430725","8.848445","9A","86d47eb2404143f7c944a0408737fe9e"
"Megatron","boulder","USA","Eldorado Canyon","39.93046","-105.29975","9A","eca14322395d59b4601bb23c22e3b2ba"
"L'ombre du voyageur","boulder","France","Haute Savoie","","","9A","9f0ada3999ccd06a2d08e8166ecb57d5"
"Spots of Time","boulder","United Kingdom","Lake District","","","9A","1dd44fdd8bc6ab27a9ab9a4b07dab370"
"Arrival of the Birds","boulder","Switzerland","Ticino","","","9A","ac23ceb50296bec143095d72d2e89586"
"Soudain Seul","boulder","France","Fontainebleau","","","9A","82a67f99f45de5bb818f0a6c46eb0bdd"
"Blackflip","boulder","Russia","Pushka","43.221261","42.684286","8C+/9A","80b8a3a2d83c8b2c13beac455cf2443c"
"Hypnotized Minds","boulder","USA","Rocky Mountain National Park","","","8C+","e3952463ff9ccda952996fefdd67d96f"
"Off the Wagon Low","boulder","Switzerland","Val Bavona","46.39447","8.53964","8C+","a590d0129df1d2d5a8c7222f7e612d7d"
"Floatin","boulder","Japan","Mizugaki","","","8C+","57f13cbc4360e4bfe1df4226a563ec88"
"Big Z","boulder","USA","Lake Tahoe","","","8C+","913128cb42e9bb43a21de2500c01aa38"
"Grand Illusion","boulder","USA","Salt Lake City","","","8C+","2931603876eb240d7b7b8cdb85c6a610"
"Ephyra","boulder","Switzerland","Chironico","46.4189","8.85411","8C+","a9f702231838a55e5898d920ad1ac736"
"Sleepwalker","boulder","USA","Red Rock","36.03712","-115.46810","8C+","3097bcb6bd3ecc904cc218403095b0e3"
"Box Therapy","boulder","USA","Rocky Mountain National Park","","","8C/+","3a6d0ab3d4423d3cbda90e479662acb5"
"Terranova","boulder","Czech Republic","Sloup","","","8C+","effdbd145cbd081ce47f484debebedf4"
"Gioia","boulder","Italy","Varazze","","","8C/+","a428967005207a4c5ba2774283c9dcb2"
"Brutal Rider","boulder","Czech Republic","Sloup","","","8C+","beacaec699e181a613868ad895708834"
"The Process","boulder","USA","Buttermilks","","","8C+","cb40e1bb070ce5975664dffa0e7b1795"
"Creature From the Black Lagoon","boulder","USA","Rocky Mountain National Park","40.304062","-105.667751","8C+","c021185da39f8d7a6a328e865a15a69f"
"La Révolutionnaire","boulder","France","Fontainebleau","","","8C+","796e31be3f79e18abf09a20a450e7015"
"Poison the Well","boulder","Switzerland","Brione","","","8C+","7be6ea92f576dc93bf39f4f605d6b826"
"United","boulder","Japan","Mizugaki","","","8C+","867166e578d4e919247f65be1ad0434c"
"Insomniac","boulder","USA","Mount Evans","39.6184722","-105.60275","8C+","d37f1bb193e9549cdbf5770970b74860"
"Moonlight Sonata","boulder","USA","Joe's valley","","","8C+","e119f67cbf08d4cc507e4d51057dc0c6"
"Nexus","boulder","Japan","Shiobara boulder","","","8C+","7abb51bbd66f9bfa8d3a64a0121c6cb7"
