route_id,climb_name,type,country,crag,lat,long,grade
ro0083,Floatin,boulder,Japan,Mizugaki,,,8C+
ro0084,Big Z,boulder,USA,Lake Tahoe,,,8C+
ro0085,Grand Illusion,boulder,USA,Salt Lake City,,,8C+
ro0086,Ephyra,boulder,Switzerland,Chironico,46.4189,8.85411,8C+
ro0087,Sleepwalker,boulder,USA,Red Rock,36.03712,-115.4681,8C+
ro0088,Box Therapy,boulder,USA,Rocky Mountain National Park,,,8C/+
ro0089,Terranova,boulder,Czech Republic,Sloup,,,8C+
ro0090,Gioia,boulder,France,Fontainebleau,,,8C/+
ro0091,Brutal Rider,boulder,Czech Republic,Sloup,,,8C+
ro0092,The Process,boulder,USA,Buttermilks,,,8C+
ro0093,Creature From the Black Lagoon,boulder,USA,Rocky Mountain National Park,40.304062,-105.667751,8C+
ro0094,La Révolutionnaire,boulder,France,Fontainebleau,,,8C+
ro0095,Poison the Well,boulder,Switzerland,Brione,,,8C+
ro0096,United,boulder,Japan,Mizugaki,,,8C+
ro0097,Insomniac,boulder,USA,Mount Evans,39.6184722,-105.60275,8C+
ro0098,Moonlight Sonata,boulder,USA,Joe's valley,,,8C+
ro0099,Nexus,boulder,Japan,Shiobara boulder,,,8C+
ro0100,Ledoborec,boulder,Czech Republic,Moravský kras,,,8C+
ro0101,Hallucination,boulder,Japan,Hourai,,,8C+
ro0102,Hypothèse (assis),boulder,France,Fontainebleau,,,8C+
ro0103,Big Conviction,boulder,France,Fontainebleau,,,8C+
ro0104,Epitaph,boulder,Japan,Hourai,,,8C+
ro0105,Fuck the System,boulder,Switzerland,Fionnay,,,8C+
ro0106,Daños con-laterales,boulder,Russia,Djan-Tugan,,,8C+
ro0107,Euclase,boulder,Switzerland,Val Bavona,,,8C+
ro0108,Brace for the Cure,boulder,USA,Rocky Mountain National Park,40.303968,-105.66773,8C+
ro0109,The Ice Knife Sit,boulder,USA,Guanella Pass,,,8C+
ro0110,Livin' Large,boulder,South Africa,Rocklands,,,8C/+
ro0111,Superpowers,boulder,United Kingdom,Lad Stones,,,8C/+
ro0112,Story of 3 Worlds,boulder,Switzerland,Cresciano,,,8C+
ro0113,Isles of Wonder SS,boulder,United Kingdom,Llyn Ogwen,,,8C/+
ro0114,Honey Badger,boulder,United Kingdom,Badger Cove,53.2441,-1.8437,8C+
ro0115,Distortion,boulder,USA,Mount Evans,39.6184722,-105.60275,8C+
ro0116,Nayuta,boulder,Japan,Gero,35.79203,137.23558,8C+
ro0117,Ganesh,boulder,Italy,Abruzzo e Molise,42.54997,13.49957,8C+
ro0118,Bookkeeping,boulder,USA,Clear Creek Canyon,39.738913,-105.415436,8C+
ro0119,Cup of Immortality (extension),boulder,Czech Republic,Moravský kras,,,8C/+
ro0120,Return of the Dreamtime,boulder,Switzerland,Cresciano,46.28796,9.00612,8C+
ro0121,Maxwell's Demon sit,boulder,USA,Secret Garden,39.9667959,-105.3797932,8C+
ro0122,Vecchio Leone Sit,boulder,Switzerland,Brione,,,8C+
ro0123,The Lions Share,boulder,Switzerland,Brione,,,8C+
ro0124,Emotional Landscapes,boulder,Austria,Maltatal,47.0028,13.44965,8C/+
ro0125,Bloody Sunday,boulder,USA,The Scoop/Coal Creek,,,8C+
ro0126,Howl at the Moon sit,boulder,USA,Guanella Pass,,,8C+
ro0127,Celestite,boulder,Switzerland,Val Bavona,,,8C+
ro0128,Gateway [after hold broke],boulder,Switzerland,Creciano,,,8C+
ro0129,Hydrangea [after hold broke],boulder,Japan,Shiobara,,,8C+
ro0130,The Dark Side,boulder,USA,Yosemite,37.741609,-119.603679,8C+
ro0131,REM,boulder,Switzerland,Cresciano,46.28796,9.00612,8C/+
ro0132,Devilution,boulder,USA,Buttermilks,,,8C+
ro0133,Adrenaline,boulder,,,,,8C+
ro0134,Regret,boulder,Japan,Ena,,,8C/+
ro0135,Muerte por asfixia,boulder,Spain,Manzanares El Real,,,8C+
